Site-Month;Aeshnidae;Ancylidae;Athericidae;Atriplectididae;Atyidae;Austroperlidae;Baetidae;Caenidae;Calamoceratidae;Calocidae;Ceinidae;Ceratopogonidae;Chironomidae;Coenagrionidae;Coloburiscidae;Conoesucidae;Corbiculidae;Corixidae;Corydalidae;Culicidae;Curculionidae;Dixidae;Dytiscidae;Ecnomidae;Elmidae;Erpobdellidae;Eustheniidae;Gerridae;Glossiphoniidae;Gomphidae;Gripopterygidae;Gyrinidae;Hemicorduliidae;Hydraenidae;Hydrobiosidae;Hydrophilidae;Hydropsychidae;Hydroptilidae;Hygrobiidae;Hymenosomatidae;Isostictidae;Janiridae;Leptoceridae;Leptophlebiidae;Lymnaeidae;Megapodagrionidae;Nepidae;Neurorthidae;Notonectidae;Oniscidae;Oniscigastridae;Parastacidae;Philorheithridae;Physidae;Planorbidae;Psephenidae;Ptilodactylidae;Pyralidae;Richardsonianidae;Scirtidae;Scyphacidae;Simuliidae;Sminthuridae;Sphaeriidae;Stratiomyidae;Synlestidae;Synthemistidae;Tabanidae;Telephlebiidae;Tipulidae;Veliidae;Lepidoptera;Mites;Oligochaeta;Turbellaria
1-11;0;0;0;0;201;0;21;21;0;0;2;2;66;0;0;0;0;1000;0;0;7;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;9;2;21;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;7;0;0;0;0
2-11;0;0;0;0;66;0;2;7;0;0;0;0;0;0;0;0;0;208;0;0;0;0;0;0;0;0;0;7;0;7;7;0;0;0;0;0;0;0;0;0;0;0;73;7;0;0;0;0;0;0;2;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;7;0;0;0;0
3-11;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;23;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;7;0;0;0;0;0;0;2;0;7;0;0;7;0
4-11;0;0;0;0;7;0;0;0;0;0;0;0;66;0;0;0;0;208;0;0;0;0;7;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;7;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
5-11;0;0;0;0;66;0;0;0;0;0;0;2;267;21;0;0;0;73;0;0;0;0;0;0;0;0;0;0;7;0;0;0;2;0;0;0;0;2;0;0;7;0;66;0;0;0;0;0;7;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;7;0;0;7;0;21;0;0;7;0
6-11;0;0;0;0;7;0;7;0;0;0;2;2;201;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;7;21;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;201;0;2;7;0
7-11;0;0;0;0;7;0;0;0;0;0;0;0;222;0;0;0;0;201;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;0;0;0;0;0;0;0;0;21;7;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;0;0;7;0
8-11;0;0;0;2;66;0;0;7;7;0;0;2;28;0;0;0;0;66;0;2;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2;21;0
9-11;0;0;0;0;21;0;0;7;2;0;0;0;7;0;0;7;0;2;0;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;7;0;0;0;0;0;0;0;21;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;21;0;0;0;2;7;0;2;0;0
10-11;0;0;0;0;7;0;21;0;0;0;0;0;21;0;0;7;0;9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;2;0;0;0;0;23;70;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;7;0;0;0;2;0;0;0;0;7;0;0;0;0
11-11;0;0;0;0;0;0;2;0;0;0;0;2;208;0;0;0;0;21;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;7;2;0;0;0;0;0;0;21;9;7;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;7;0;0;7;0
12-11;0;0;0;0;21;0;2;66;7;0;0;0;23;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;49;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;0
13-11;0;0;0;0;2;2;7;4;0;0;0;0;672;0;0;23;0;0;0;2;0;0;0;0;14;0;0;7;0;0;14;0;0;0;2;0;7;0;0;0;0;0;21;14;0;0;0;0;0;0;2;0;0;0;0;0;7;0;0;0;0;0;0;0;0;21;66;0;2;2;0;0;0;28;0
14-11;0;0;0;0;0;0;14;0;0;0;0;7;87;0;0;0;0;0;0;0;0;0;4;0;2;0;21;0;0;0;9;0;0;0;7;0;2;0;0;0;0;0;155;80;0;0;0;0;0;0;2;0;0;0;0;0;7;0;0;0;0;66;0;21;0;0;2;0;66;14;7;0;0;0;0
15-11;0;0;0;0;0;0;0;0;0;66;0;9;42;0;0;0;0;0;7;0;0;0;0;0;25;0;0;0;0;0;7;0;0;0;9;0;7;0;0;0;0;0;28;653;0;0;0;2;0;0;66;0;2;0;0;2;2;0;0;7;0;87;0;0;0;2;0;0;0;21;0;0;0;21;7
16-11;2;0;0;0;21;0;2;0;0;0;0;0;224;21;0;0;201;724;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;1000;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;2;0;21;0;0;0;0;0;658;0;0;0;0;0;0;0;0;0;0;0;9;0
17-11;0;0;0;0;0;0;0;0;0;0;0;0;658;21;0;0;0;0;0;0;0;0;7;0;0;0;0;0;2;0;0;0;0;0;0;0;21;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;267;66;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;208;0
18-11;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;2;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;66;0
19-11;0;2;0;0;21;0;21;7;7;0;0;0;87;0;0;66;0;7;0;0;0;0;0;0;9;0;0;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;21;23;0;0;0;0;0;0;0;0;0;21;0;0;0;0;2;7;0;66;0;0;0;0;0;0;0;0;7;0;66;0;0
20-11;0;0;0;2;21;0;21;7;0;0;0;0;7;0;0;21;0;21;0;0;0;0;0;0;7;0;0;21;0;0;21;0;0;0;7;0;0;0;0;0;0;0;28;208;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;21;0;0;0;66;0;0;0;7;7;0;0;2;0
21-11;0;0;0;0;201;0;0;21;0;0;1000;2;23;201;0;0;0;9;0;0;0;0;32;0;2;0;0;0;7;0;0;0;0;0;7;0;0;2;0;0;0;0;21;0;7;7;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1000;0;0
22-11;0;0;0;0;66;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;7;0;0;9;7;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;7;0
23-11;0;0;0;0;7;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;651;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;2;0;21;0;0;0;2;0;0;7;0
24-11;0;0;0;0;672;0;1007;0;0;0;2000;0;9;7;0;0;0;679;0;0;0;0;7;0;28;0;0;7;0;0;7;0;0;0;21;0;66;0;0;21;0;0;222;0;672;0;0;0;0;0;0;0;0;267;28;7;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;7;0;0;0
